기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상,기타불명
2017,중구,발생건수,1252,77,118,91,902,64
2017,중구,사망자수,4,-,-,-,4,-
2017,중구,부상자수,1684,95,168,106,1244,71
2017,용산구,발생건수,1337,120,107,109,898,103
2017,용산구,사망자수,12,1,2,3,6,-
2017,용산구,부상자수,1949,173,160,146,1338,132
2017,성동구,발생건수,1076,136,116,108,636,80
2017,성동구,사망자수,15,3,1,-,8,3
2017,성동구,부상자수,1501,199,161,141,909,91
2017,광진구,발생건수,1064,120,125,97,614,108
2017,광진구,사망자수,16,-,2,4,10,-
2017,광진구,부상자수,1441,157,170,141,848,125
2017,동대문구,발생건수,1718,228,159,150,1081,100
2017,동대문구,사망자수,25,2,3,1,19,-
2017,동대문구,부상자수,2139,285,204,199,1337,114
2017,중랑구,발생건수,1639,163,139,141,1087,109
2017,중랑구,사망자수,6,-,1,-,4,1
2017,중랑구,부상자수,2228,230,180,179,1512,127
2017,성북구,발생건수,1557,132,116,107,1123,79
2017,성북구,사망자수,17,1,1,-,15,-
2017,성북구,부상자수,2068,160,155,150,1512,91
2017,강북구,발생건수,1202,123,82,79,850,68
2017,강북구,사망자수,9,1,-,-,8,-
2017,강북구,부상자수,1567,159,101,102,1125,80
2017,도봉구,발생건수,944,68,87,62,660,67
2017,도봉구,사망자수,9,2,-,-,6,1
2017,도봉구,부상자수,1239,97,121,85,859,77
2017,노원구,발생건수,1499,150,155,124,995,75
2017,노원구,사망자수,11,1,1,-,9,-
2017,노원구,부상자수,2055,193,211,178,1387,86
2017,은평구,발생건수,1067,86,78,55,764,84
2017,은평구,사망자수,12,-,-,1,10,1
2017,은평구,부상자수,1489,124,125,80,1063,97
2017,서대문구,발생건수,1032,122,102,81,673,54
2017,서대문구,사망자수,8,-,-,-,8,-
2017,서대문구,부상자수,1430,161,146,119,945,59
2017,마포구,발생건수,1859,201,198,152,1182,126
2017,마포구,사망자수,8,-,1,2,5,-
2017,마포구,부상자수,2793,296,283,208,1843,163
2017,양천구,발생건수,1343,97,101,91,946,108
2017,양천구,사망자수,13,3,-,-,10,-
2017,양천구,부상자수,1789,121,134,124,1287,123
2017,강서구,발생건수,1584,165,151,127,1055,86
2017,강서구,사망자수,12,1,-,1,9,1
2017,강서구,부상자수,2155,210,219,179,1447,100
2017,구로구,발생건수,1433,195,120,110,922,86
2017,구로구,사망자수,12,3,2,1,6,-
2017,구로구,부상자수,1960,274,177,149,1254,106
2017,금천구,발생건수,824,101,89,74,501,59
2017,금천구,사망자수,6,1,-,-,5,-
2017,금천구,부상자수,1228,147,139,93,785,64
2017,영등포구,발생건수,2386,270,255,226,1473,162
2017,영등포구,사망자수,22,4,2,3,12,1
2017,영등포구,부상자수,3519,380,375,336,2240,188
2017,동작구,발생건수,1409,179,163,113,863,91
2017,동작구,사망자수,20,-,4,1,13,2
2017,동작구,부상자수,2043,270,241,161,1262,109
2017,관악구,발생건수,1251,143,141,107,788,72
2017,관악구,사망자수,11,1,2,1,7,-
2017,관악구,부상자수,1659,210,188,152,1026,83
2017,서초구,발생건수,2361,233,232,234,1535,127
2017,서초구,사망자수,21,3,-,6,12,-
2017,서초구,부상자수,3548,363,348,339,2338,160
2017,강남구,발생건수,3469,342,361,353,2233,180
2017,강남구,사망자수,19,-,2,2,15,-
2017,강남구,부상자수,4959,529,541,508,3157,224
2017,송파구,발생건수,2758,254,246,221,1800,237
2017,송파구,사망자수,23,2,1,2,18,-
2017,송파구,부상자수,3805,377,354,286,2494,294
2017,강동구,발생건수,1371,130,128,110,892,111
2017,강동구,사망자수,19,1,3,-,12,3
2017,강동구,부상자수,1873,184,181,157,1237,114
2018,합계,발생건수,38795,3789,3814,3076,26008,2108
2018,합계,사망자수,304,14,20,20,237,13
2018,합계,부상자수,53751,5248,5274,4237,36521,2471
2018,종로구,발생건수,1134,75,68,90,866,35
2018,종로구,사망자수,6,-,-,-,6,-
2018,종로구,부상자수,1546,109,91,115,1195,36
2018,중구,발생건수,1128,83,86,78,823,58
2018,중구,사망자수,9,-,-,-,9,-
2018,중구,부상자수,1506,111,114,116,1102,63
2018,용산구,발생건수,1330,128,140,116,860,86
2018,용산구,사망자수,14,-,3,2,7,2
2018,용산구,부상자수,1852,170,200,165,1209,108
2018,성동구,발생건수,1143,134,146,102,692,69
2018,성동구,사망자수,9,-,1,1,6,1
2018,성동구,부상자수,1561,197,198,127,963,76
2018,광진구,발생건수,1108,122,138,115,659,74
2018,광진구,사망자수,10,2,-,3,5,-
2018,광진구,부상자수,1474,158,188,165,879,84
2018,동대문구,발생건수,1699,182,170,141,1103,103
2018,동대문구,사망자수,14,1,-,1,12,-
2018,동대문구,부상자수,2160,229,213,174,1425,119
2018,중랑구,발생건수,1565,136,146,109,1085,89
2018,중랑구,사망자수,10,-,-,1,8,1
2018,중랑구,부상자수,2135,177,191,156,1511,100
2018,성북구,발생건수,1427,116,116,85,1048,62
2018,성북구,사망자수,14,-,1,-,12,1
2018,성북구,부상자수,1980,133,158,107,1498,84
2018,강북구,발생건수,1216,106,101,80,846,83
2018,강북구,사망자수,13,2,-,-,10,1
2018,강북구,부상자수,1633,172,125,114,1124,98
2018,도봉구,발생건수,824,77,62,51,597,37
2018,도봉구,사망자수,6,-,-,-,6,-
2018,도봉구,부상자수,1061,107,93,64,755,42
2018,노원구,발생건수,1569,116,115,99,1161,78
2018,노원구,사망자수,14,2,2,1,8,1
2018,노원구,부상자수,2227,168,155,132,1686,86
2018,은평구,발생건수,1134,68,83,62,842,79
2018,은평구,사망자수,12,-,-,1,10,1
2018,은평구,부상자수,1580,89,119,91,1198,83
2018,서대문구,발생건수,1033,99,100,72,720,42
2018,서대문구,사망자수,5,-,-,-,5,-
2018,서대문구,부상자수,1403,123,130,105,997,48
2018,마포구,발생건수,1671,159,171,137,1101,103
2018,마포구,사망자수,11,-,1,1,9,-
2018,마포구,부상자수,2429,225,257,195,1620,132
2018,양천구,발생건수,1428,107,109,92,1036,84
2018,양천구,사망자수,11,-,1,1,9,-
2018,양천구,부상자수,1939,123,148,122,1451,95
2018,강서구,발생건수,1502,142,135,132,1017,76
2018,강서구,사망자수,11,-,1,-,7,3
2018,강서구,부상자수,2208,195,186,179,1562,86
2018,구로구,발생건수,1532,208,164,126,971,63
2018,구로구,사망자수,13,-,1,2,10,-
2018,구로구,부상자수,2129,320,225,186,1322,76
2018,금천구,발생건수,932,129,119,74,574,36
2018,금천구,사망자수,6,-,1,-,5,-
2018,금천구,부상자수,1326,194,168,92,833,39
2018,영등포구,발생건수,2493,300,240,196,1582,175
2018,영등포구,사망자수,22,1,-,-,19,2
2018,영등포구,부상자수,3532,440,338,280,2277,197
2018,동작구,발생건수,1412,180,144,122,895,71
2018,동작구,사망자수,9,1,-,1,7,-
2018,동작구,부상자수,1892,234,187,168,1215,88
2018,관악구,발생건수,1300,133,144,124,838,61
2018,관악구,사망자수,8,1,1,-,6,-
2018,관악구,부상자수,1717,175,210,175,1089,68
2018,서초구,발생건수,2478,237,282,230,1613,116
2018,서초구,사망자수,18,2,2,-,14,-
2018,서초구,부상자수,3640,331,427,318,2414,150
2018,강남구,발생건수,3459,361,408,331,2208,151
2018,강남구,사망자수,20,2,3,-,15,-
2018,강남구,부상자수,4967,534,574,477,3194,188
2018,송파구,발생건수,2860,262,265,205,1947,181
2018,송파구,사망자수,27,-,2,3,22,-
2018,송파구,부상자수,3932,366,364,286,2698,218
2018,강동구,발생건수,1418,129,162,107,924,96
2018,강동구,사망자수,12,-,-,2,10,-
2018,강동구,부상자수,1922,168,215,128,1304,107
